1 2 3 4
5 4 3 2
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 2 3 14
5 42 36 24
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 73 75 67
12 22 44 22
23 43 75 67
12 22 44 22
12 12 22 24
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
17 21 13 14
35 74 13 12
12 33 14 43
1 2 3 4
5 4 3 2
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 2 3 14
5 42 36 24
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 73 75 67
12 22 44 22
23 43 75 67
12 22 44 22
12 12 22 24
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
17 21 13 14
35 74 13 12
12 33 14 43
1 2 3 4
5 4 3 2
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 2 3 14
5 42 36 24
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 73 75 67
12 22 44 22
23 43 75 67
12 22 44 22
12 12 22 24
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
17 21 13 14
35 74 13 12
12 33 14 43
1 2 3 4
5 4 3 2
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 2 3 14
5 42 36 24
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 73 75 67
12 22 44 22
23 43 75 67
12 22 44 22
12 12 22 24
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
17 21 13 14
35 74 13 12
12 33 14 43
1 2 3 4
5 4 3 2
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 2 3 14
5 42 36 24
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 73 75 67
12 22 44 22
23 43 75 67
12 22 44 22
12 12 22 24
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
17 21 13 14
35 74 13 12
12 33 14 43
1 2 3 4
5 4 3 2
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 2 3 14
5 42 36 24
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 73 75 67
12 22 44 22
23 43 75 67
12 22 44 22
12 12 22 24
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
17 21 13 14
35 74 13 12
12 33 14 43
71 72 73 74
75 74 73 72
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 2 3 14
5 42 36 24
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
17 21 13 14
35 74 13 12
12 33 14 43
71 72 73 74
75 74 73 72
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 2 3 14
5 42 36 24
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 12 12 2
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 73 75 67
12 22 44 22
23 43 75 67
12 22 44 22
12 12 22 24
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
17 21 13 14
35 74 13 12
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 2 3 14
5 42 36 24
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 12 12 2
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 73 75 67
12 22 44 22
23 43 75 67
12 22 44 22
12 12 22 24
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
17 21 13 14
35 74 13 12
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 2 3 14
5 42 36 24
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 12 12 2
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 73 75 67
12 22 44 22
23 43 75 67
12 22 44 22
12 12 22 24
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
17 21 13 14
35 74 13 12
12 33 14 43
1 2 3 4
5 4 3 2
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 12 2
33 13 3 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 21 13 14
35 14 13 12
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
12 12 22 32
33 13 53 13
14 34 14 50
15 15 65 45
23 43 45 67
12 22 44 22
11 2 3 14
5 42 36 24
12 33 14 43
15 15 65 45
23 43 45 67
12 22 44 22
